WEEKDAY,TIME,DATA,PREDICTDATA
THU,22:41:00,58,1577.75
THU,22:46:00,58,1228.87
THU,22:51:00,58,1228.87
THU,22:56:00,234,1872.78
THU,23:00:00,585,1228.87
THU,23:05:00,877,586.08
THU,23:11:00,2399,586.08
THU,23:15:00,58,586.08
THU,23:20:00,58,586.08
THU,23:26:00,117,586.08
